geometry,raster_val,area_feet,area_acres,size_category
"POLYGON ((2992337 1879014, 2992337 1879013, 2992338 1879013, 2992338 1879014, 2992337 1879014))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992514 1879013, 2992514 1879012, 2992515 1879012, 2992515 1879013, 2992514 1879013))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992462 1879012, 2992462 1879011, 2992463 1879011, 2992463 1879012, 2992462 1879012))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992728 1879012, 2992728 1879010, 2992729 1879010, 2992729 1879012, 2992728 1879012))",1.0,2.0,4.591368227731864e-05,1/8 acre
"POLYGON ((2992851 1879014, 2992851 1879013, 2992853 1879013, 2992853 1879011, 2992854 1879011, 2992854 1879013, 2992856 1879013, 2992856 1879011, 2992857 1879011, 2992857 1879010, 2992858 1879010, 2992858 1879009, 2992859 1879009, 2992859 1879011, 2992858 1879011, 2992858 1879013, 2992859 1879013, 2992859 1879014, 2992851 1879014))",1.0,17.0,0.00039026629935720846,1/8 acre
"POLYGON ((2992345 1879009, 2992345 1879008, 2992346 1879008, 2992346 1879007, 2992347 1879007, 2992347 1879009, 2992345 1879009))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992846 1879008, 2992846 1879007, 2992847 1879007, 2992847 1879008, 2992846 1879008))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992345 1879007, 2992345 1879006, 2992346 1879006, 2992346 1879007, 2992345 1879007))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992391 1879007, 2992391 1879006, 2992392 1879006, 2992392 1879007, 2992391 1879007))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992939 1879014, 2992939 1879013, 2992942 1879013, 2992942 1879012, 2992941 1879012, 2992941 1879010, 2992943 1879010, 2992943 1879009, 2992944 1879009, 2992944 1879008, 2992946 1879008, 2992946 1879007, 2992945 1879007, 2992945 1879004, 2992947 1879004, 2992947 1879005, 2992949 1879005, 2992949 1879004, 2992951 1879004, 2992951 1879005, 2992952 1879005, 2992952 1879014, 2992939 1879014))",1.0,86.0,0.0019742883379247015,1/8 acre
"POLYGON ((2992942 1879004, 2992942 1879003, 2992943 1879003, 2992943 1879004, 2992942 1879004))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992541 1879003, 2992541 1879002, 2992542 1879002, 2992542 1879003, 2992541 1879003))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992344 1879014, 2992344 1879012, 2992346 1879012, 2992346 1879013, 2992348 1879013, 2992348 1879012, 2992351 1879012, 2992351 1879011, 2992352 1879011, 2992352 1879009, 2992354 1879009, 2992354 1879008, 2992355 1879008, 2992355 1879006, 2992356 1879006, 2992356 1879004, 2992357 1879004, 2992357 1879003, 2992359 1879003, 2992359 1879002, 2992361 1879002, 2992361 1879001, 2992362 1879001, 2992362 1879000, 2992363 1879000, 2992363 1879003, 2992367 1879003, 2992367 1879004, 2992368 1879004, 2992368 1879005, 2992372 1879005, 2992372 1879006, 2992374 1879006, 2992374 1879007, 2992375 1879007, 2992375 1879008, 2992376 1879008, 2992376 1879011, 2992375 1879011, 2992375 1879014, 2992344 1879014))",1.0,238.0,0.005463728191000918,1/8 acre
"POLYGON ((2992543 1879003, 2992543 1879002, 2992542 1879002, 2992542 1879001, 2992543 1879001, 2992543 1879000, 2992544 1879000, 2992544 1879003, 2992543 1879003))",1.0,4.0,9.182736455463728e-05,1/8 acre
"POLYGON ((2992451 1879001, 2992451 1878999, 2992453 1878999, 2992453 1879001, 2992451 1879001))",1.0,4.0,9.182736455463728e-05,1/8 acre
"POLYGON ((2992585 1879001, 2992585 1878999, 2992587 1878999, 2992587 1879000, 2992586 1879000, 2992586 1879001, 2992585 1879001))",1.0,3.0,6.887052341597796e-05,1/8 acre
"POLYGON ((2992310 1879000, 2992310 1878999, 2992311 1878999, 2992311 1879000, 2992310 1879000))",1.0,1.0,2.295684113865932e-05,1/8 acre
"POLYGON ((2992343 1878999, 2992343 1878998, 2992344 1878998, 2992344 1878999, 2992343 1878999))",1.0,1.0,2.295684113865932e-05,1/8 acre
